CodiceSoggetto,NumeroSoggetto,Condizione,BlockIdx,Trial,Modality,Stretch,BallsPopped,TrialDuration_s
SIVA,17,Task,1,1,Pinza,Stretch2,10,3,00
SIVA,17,Task,1,2,Pinza,Stretch2,10,3,00
SIVA,17,Task,1,3,Pinza,Stretch2,10,3,00
SIVA,17,Task,1,4,Pinza,Stretch2,10,3,00
SIVA,17,Task,1,5,Pinza,Stretch2,10,3,00
SIVA,17,Task,1,6,Pinza,Stretch2,10,3,00
SIVA,17,Task,1,7,Pinza,Stretch2,10,3,00
SIVA,17,Task,1,8,Pinza,Stretch2,10,3,00
SIVA,17,Task,1,9,Pinza,Stretch2,10,3,00
SIVA,17,Task,1,10,Pinza,Stretch2,10,3,00
SIVA,17,Task,1,11,Pinza,Stretch2,10,3,00
SIVA,17,Task,1,12,Pinza,Stretch2,10,3,00
SIVA,17,Task,2,1,Pinza,Baseline,5,3,00
SIVA,17,Task,2,2,Pinza,Baseline,4,3,00
SIVA,17,Task,2,3,Pinza,Baseline,4,3,00
SIVA,17,Task,2,4,Pinza,Baseline,3,3,00
SIVA,17,Task,2,5,Pinza,Baseline,3,3,00
SIVA,17,Task,2,6,Pinza,Baseline,3,3,00
SIVA,17,Task,2,7,Pinza,Baseline,3,3,00
SIVA,17,Task,2,8,Pinza,Baseline,3,3,00
SIVA,17,Task,2,9,Pinza,Baseline,3,3,00
SIVA,17,Task,2,10,Pinza,Baseline,3,3,00
SIVA,17,Task,2,11,Pinza,Baseline,3,3,00
SIVA,17,Task,2,12,Pinza,Baseline,4,3,00
SIVA,17,Task,3,1,Pinza,Stretch1,7,3,00
SIVA,17,Task,3,2,Pinza,Stretch1,7,3,00
SIVA,17,Task,3,3,Pinza,Stretch1,7,3,00
SIVA,17,Task,3,4,Pinza,Stretch1,7,3,00
SIVA,17,Task,3,5,Pinza,Stretch1,7,3,00
SIVA,17,Task,3,6,Pinza,Stretch1,7,3,00
SIVA,17,Task,3,7,Pinza,Stretch1,7,3,00
SIVA,17,Task,3,8,Pinza,Stretch1,7,3,00
SIVA,17,Task,3,9,Pinza,Stretch1,6,3,00
SIVA,17,Task,3,10,Pinza,Stretch1,8,3,00
SIVA,17,Task,3,11,Pinza,Stretch1,7,3,00
SIVA,17,Task,3,12,Pinza,Stretch1,8,3,00
