CodiceSoggetto,NumeroSoggetto,Condizione,BlockIdx,Trial,Modality,Stretch,BallsPopped,TrialDuration_s
PROVA,00001,1,1,1,Pinza,Baseline,5,3,00
PROVA,00001,1,1,2,Pinza,Baseline,4,3,00
PROVA,00001,1,1,3,Pinza,Baseline,5,3,00
PROVA,00001,1,1,4,Pinza,Baseline,5,3,00
PROVA,00001,1,1,5,Pinza,Baseline,5,3,00
PROVA,00001,1,1,6,Pinza,Baseline,5,3,00
PROVA,00001,1,1,7,Pinza,Baseline,5,3,00
PROVA,00001,1,1,8,Pinza,Baseline,0,3,00
PROVA,00001,1,1,9,Pinza,Baseline,0,3,00
PROVA,00001,1,1,10,Pinza,Baseline,0,3,00
PROVA,00001,1,1,11,Pinza,Baseline,4,3,00
PROVA,00001,1,1,12,Pinza,Baseline,6,3,00
PROVA,00001,1,2,1,Pinza,Stretch1,7,3,00
PROVA,00001,1,2,2,Pinza,Stretch1,7,3,00
PROVA,00001,1,2,3,Pinza,Stretch1,7,3,00
PROVA,00001,1,2,4,Pinza,Stretch1,8,3,00
PROVA,00001,1,2,5,Pinza,Stretch1,7,3,00
PROVA,00001,1,2,6,Pinza,Stretch1,7,3,00
PROVA,00001,1,2,7,Pinza,Stretch1,8,3,00
PROVA,00001,1,2,8,Pinza,Stretch1,7,3,00
PROVA,00001,1,2,9,Pinza,Stretch1,8,3,00
PROVA,00001,1,2,10,Pinza,Stretch1,7,3,00
PROVA,00001,1,2,11,Pinza,Stretch1,9,3,00
PROVA,00001,1,2,12,Pinza,Stretch1,8,3,00
PROVA,00001,1,3,1,Pinza,Stretch2,10,3,00
PROVA,00001,1,3,2,Pinza,Stretch2,10,3,00
PROVA,00001,1,3,3,Pinza,Stretch2,10,3,00
PROVA,00001,1,3,4,Pinza,Stretch2,10,3,00
PROVA,00001,1,3,5,Pinza,Stretch2,10,3,00
PROVA,00001,1,3,6,Pinza,Stretch2,10,3,00
PROVA,00001,1,3,7,Pinza,Stretch2,10,3,00
PROVA,00001,1,3,8,Pinza,Stretch2,10,3,00
