CodiceSoggetto,NumeroSoggetto,Condizione,Block,Trial,TrialType,RT_ms,Timeout
MACA,14,3,1,1,UNHELPFUL,636,0
MACA,14,3,1,2,UNHELPFUL,1281,0
MACA,14,3,1,3,UNHELPFUL,988,0
MACA,14,3,1,4,UNHELPFUL,779,0
MACA,14,3,1,5,UNHELPFUL,681,0
MACA,14,3,1,6,UNHELPFUL,947,0
MACA,14,3,1,7,UNHELPFUL,528,0
MACA,14,3,1,8,UNHELPFUL,1141,0
MACA,14,3,1,9,UNHELPFUL,654,0
MACA,14,3,1,10,UNHELPFUL,529,0
MACA,14,3,1,11,UNHELPFUL,599,0
MACA,14,3,1,12,UNHELPFUL,236,0
MACA,14,3,1,13,UNHELPFUL,14,0
MACA,14,3,1,14,UNHELPFUL,474,0
MACA,14,3,1,15,UNHELPFUL,278,0
MACA,14,3,1,16,UNHELPFUL,376,0
MACA,14,3,1,17,UNHELPFUL,390,0
MACA,14,3,1,18,UNHELPFUL,84,0
MACA,14,3,1,19,UNHELPFUL,362,0
MACA,14,3,1,20,UNHELPFUL,571,0
MACA,14,3,2,1,HELPFUL,2130,0
MACA,14,3,2,2,HELPFUL,515,0
MACA,14,3,2,3,HELPFUL,0,1
