CodiceSoggetto,NumeroSoggetto,Condizione,BlockIdx,Trial,Modality,Kind,RT_ms,Timeout
PROVAA,2,3,1,1,RightHand,Unhelpful,0,1
PROVAA,2,3,1,2,RightHand,Unhelpful,668,0
PROVAA,2,3,1,3,RightHand,Unhelpful,902,0
PROVAA,2,3,1,4,RightHand,Unhelpful,536,0
PROVAA,2,3,1,5,RightHand,Unhelpful,537,0
PROVAA,2,3,1,6,RightHand,Unhelpful,512,0
PROVAA,2,3,1,7,RightHand,Unhelpful,578,0
PROVAA,2,3,1,8,RightHand,Unhelpful,525,0
PROVAA,2,3,1,9,RightHand,Unhelpful,23,0
PROVAA,2,3,1,10,RightHand,Unhelpful,999,0
PROVAA,2,3,1,11,RightHand,Unhelpful,611,0
PROVAA,2,3,1,12,RightHand,Unhelpful,870,0
PROVAA,2,3,1,13,RightHand,Unhelpful,1141,0
PROVAA,2,3,1,14,RightHand,Unhelpful,950,0
PROVAA,2,3,1,15,RightHand,Unhelpful,532,0
PROVAA,2,3,1,16,RightHand,Unhelpful,534,0
PROVAA,2,3,1,17,RightHand,Unhelpful,623,0
PROVAA,2,3,1,18,RightHand,Unhelpful,360,0
PROVAA,2,3,1,19,RightHand,Unhelpful,617,0
PROVAA,2,3,1,20,RightHand,Unhelpful,1100,0
PROVAA,2,3,2,1,RightHand,Baseline,558,0
PROVAA,2,3,2,2,RightHand,Baseline,2370,0
PROVAA,2,3,2,3,RightHand,Baseline,0,1
PROVAA,2,3,2,4,RightHand,Baseline,1226,0
PROVAA,2,3,2,5,RightHand,Baseline,667,0
PROVAA,2,3,2,6,RightHand,Baseline,799,0
PROVAA,2,3,2,7,RightHand,Baseline,0,1
PROVAA,2,3,2,8,RightHand,Baseline,549,0
PROVAA,2,3,2,9,RightHand,Baseline,670,0
PROVAA,2,3,2,10,RightHand,Baseline,578,0
PROVAA,2,3,2,11,RightHand,Baseline,520,0
PROVAA,2,3,2,12,RightHand,Baseline,580,0
PROVAA,2,3,2,13,RightHand,Baseline,681,0
PROVAA,2,3,2,14,RightHand,Baseline,768,0
PROVAA,2,3,2,15,RightHand,Baseline,655,0
PROVAA,2,3,2,16,RightHand,Baseline,618,0
PROVAA,2,3,2,17,RightHand,Baseline,520,0
PROVAA,2,3,2,18,RightHand,Baseline,542,0
PROVAA,2,3,2,19,RightHand,Baseline,590,0
PROVAA,2,3,2,20,RightHand,Baseline,627,0
PROVAA,2,3,3,1,RightHand,Helpful,0,1
PROVAA,2,3,3,2,RightHand,Helpful,1631,0
PROVAA,2,3,3,3,RightHand,Helpful,0,1
PROVAA,2,3,3,4,RightHand,Helpful,2147,0
PROVAA,2,3,3,5,RightHand,Helpful,0,1
PROVAA,2,3,3,6,RightHand,Helpful,2003,0
PROVAA,2,3,3,7,RightHand,Helpful,124,0
PROVAA,2,3,3,8,RightHand,Helpful,0,1
PROVAA,2,3,3,9,RightHand,Helpful,0,1
PROVAA,2,3,3,10,RightHand,Helpful,0,1
PROVAA,2,3,3,11,RightHand,Helpful,0,1
PROVAA,2,3,3,12,RightHand,Helpful,0,1
PROVAA,2,3,3,13,RightHand,Helpful,0,1
PROVAA,2,3,3,14,RightHand,Helpful,0,1
PROVAA,2,3,3,15,RightHand,Helpful,0,1
PROVAA,2,3,3,16,RightHand,Helpful,0,1
PROVAA,2,3,3,17,RightHand,Helpful,0,1
PROVAA,2,3,3,18,RightHand,Helpful,0,1
PROVAA,2,3,3,19,RightHand,Helpful,0,1
PROVAA,2,3,3,20,RightHand,Helpful,0,1
PROVAA,2,3,4,1,maingripper,Unhelpful,0,1
