CodiceSoggetto,NumeroSoggetto,Condizione,RigId,Trial,Type,Response,Time(ms)
ADPA,1,1,ManoRig,1,Async_indice,indice,1306
ADPA,1,1,ManoRig,2,Async_medio,medio,698
ADPA,1,1,ManoRig,3,Async_medio,medio,878
ADPA,1,1,ManoRig,4,Async_indice,indice,711
ADPA,1,1,ManoRig,5,Async_indice,indice,833
ADPA,1,1,ManoRig,6,Sync_indice,medio,656
ADPA,1,1,ManoRig,7,Async_indice,indice,723
ADPA,1,1,ManoRig,8,Async_indice,indice,641
ADPA,1,1,ManoRig,9,Async_indice,indice,823
ADPA,1,1,ManoRig,10,Async_medio,medio,977
ADPA,1,1,ManoRig,1,Sync_indice,medio,601
ADPA,1,1,ManoRig,2,Sync_medio,indice,628
ADPA,1,1,ManoRig,3,Sync_medio,indice,571
ADPA,1,1,ManoRig,4,Sync_medio,indice,530
ADPA,1,1,ManoRig,5,Async_medio,medio,584
ADPA,1,1,ManoRig,6,Async_indice,indice,684
ADPA,1,1,ManoRig,7,Async_indice,indice,641
ADPA,1,1,ManoRig,8,Async_indice,indice,656
ADPA,1,1,ManoRig,9,Sync_medio,indice,598
ADPA,1,1,ManoRig,10,Async_medio,medio,822
ADPA,1,1,ManoRig,1,Sync_medio,indice,587
ADPA,1,1,ManoRig,2,Sync_medio,indice,516
ADPA,1,1,ManoRig,3,Sync_indice,medio,558
ADPA,1,1,ManoRig,4,Async_indice,indice,689
ADPA,1,1,ManoRig,5,Async_indice,indice,490
ADPA,1,1,ManoRig,6,Async_indice,indice,419
ADPA,1,1,ManoRig,7,Sync_medio,indice,446
ADPA,1,1,ManoRig,8,Sync_indice,medio,447
ADPA,1,1,ManoRig,9,Async_medio,medio,487
ADPA,1,1,ManoRig,10,Sync_indice,medio,393
ADPA,1,1,ManoRig,1,Sync_medio,indice,739
ADPA,1,1,ManoRig,2,Async_medio,medio,627
ADPA,1,1,ManoRig,3,Sync_medio,indice,573
ADPA,1,1,ManoRig,4,Sync_indice,medio,419
ADPA,1,1,ManoRig,5,Sync_medio,indice,516
ADPA,1,1,ManoRig,6,Async_medio,medio,543
ADPA,1,1,ManoRig,7,Async_indice,indice,641
ADPA,1,1,ManoRig,8,Sync_indice,medio,585
ADPA,1,1,ManoRig,9,Sync_indice,medio,501
ADPA,1,1,ManoRig,10,Sync_indice,medio,478
