CodiceSoggetto,NumeroSoggetto,Condizione,RigId,Trial,Type,Response,Time(ms)
ADPA,1,1,PinzaRIG,1,Sync_indice,medio,710
ADPA,1,1,PinzaRIG,2,Async_medio,indice,1028
ADPA,1,1,PinzaRIG,3,Async_medio,medio,738
ADPA,1,1,PinzaRIG,4,Async_indice,indice,839
ADPA,1,1,PinzaRIG,5,Sync_medio,indice,700
ADPA,1,1,PinzaRIG,6,Sync_medio,indice,519
ADPA,1,1,PinzaRIG,7,Sync_medio,indice,446
ADPA,1,1,PinzaRIG,8,Async_indice,indice,582
ADPA,1,1,PinzaRIG,9,Async_indice,indice,530
ADPA,1,1,PinzaRIG,10,Sync_indice,medio,613
ADPA,1,1,PinzaRIG,1,Sync_indice,medio,976
ADPA,1,1,PinzaRIG,2,Sync_indice,medio,615
ADPA,1,1,PinzaRIG,3,Async_medio,medio,658
ADPA,1,1,PinzaRIG,4,Sync_indice,medio,436
ADPA,1,1,PinzaRIG,5,Sync_medio,NA,NA
ADPA,1,1,PinzaRIG,6,Async_medio,medio,697
ADPA,1,1,PinzaRIG,7,Async_medio,medio,418
ADPA,1,1,PinzaRIG,8,Sync_indice,medio,474
ADPA,1,1,PinzaRIG,9,Sync_indice,medio,502
ADPA,1,1,PinzaRIG,10,Async_medio,medio,672
ADPA,1,1,PinzaRIG,1,Async_medio,medio,657
ADPA,1,1,PinzaRIG,2,Async_indice,indice,697
ADPA,1,1,PinzaRIG,3,Sync_indice,medio,527
ADPA,1,1,PinzaRIG,4,Async_medio,medio,446
ADPA,1,1,PinzaRIG,5,Async_indice,indice,516
ADPA,1,1,PinzaRIG,6,Async_medio,medio,708
ADPA,1,1,PinzaRIG,7,Sync_medio,indice,599
ADPA,1,1,PinzaRIG,8,Async_medio,medio,588
ADPA,1,1,PinzaRIG,9,Sync_medio,indice,754
ADPA,1,1,PinzaRIG,10,Async_medio,medio,545
