CodiceSoggetto,NumeroSoggetto,Condizione,RigId,Trial,Type,Response,Time(ms)
EDME,2,1,ManoRig,1,Async_medio,medio,1398
EDME,2,1,ManoRig,2,Async_indice,medio,836
EDME,2,1,ManoRig,3,Async_medio,indice,614
EDME,2,1,ManoRig,4,Sync_indice,medio,408
EDME,2,1,ManoRig,5,Async_indice,medio,377
EDME,2,1,ManoRig,6,Async_medio,indice,365
EDME,2,1,ManoRig,7,Async_medio,indice,515
EDME,2,1,ManoRig,8,Async_indice,medio,392
EDME,2,1,ManoRig,9,Async_indice,indice,420
EDME,2,1,ManoRig,10,Async_medio,indice,544
EDME,2,1,ManoRig,1,Sync_medio,indice,949
EDME,2,1,ManoRig,2,Sync_medio,indice,530
EDME,2,1,ManoRig,3,Sync_indice,medio,1060
EDME,2,1,ManoRig,4,Async_medio,indice,628
EDME,2,1,ManoRig,5,Async_medio,indice,530
EDME,2,1,ManoRig,6,Sync_medio,indice,349
EDME,2,1,ManoRig,7,Async_medio,indice,336
EDME,2,1,ManoRig,8,Async_indice,medio,490
EDME,2,1,ManoRig,9,Sync_medio,indice,336
EDME,2,1,ManoRig,10,Async_medio,indice,420
