CodiceSoggetto,NumeroSoggetto,Condizione,RigId,Trial,Type,Response,Time(ms)
EDME,2,1,PinzaRIG,1,Async_medio,indice,944
EDME,2,1,PinzaRIG,2,Async_medio,indice,614
EDME,2,1,PinzaRIG,3,Async_medio,indice,515
EDME,2,1,PinzaRIG,4,Async_medio,indice,348
EDME,2,1,PinzaRIG,5,Sync_indice,medio,600
EDME,2,1,PinzaRIG,6,Sync_indice,medio,571
EDME,2,1,PinzaRIG,7,Sync_medio,indice,501
EDME,2,1,PinzaRIG,8,Async_medio,indice,377
EDME,2,1,PinzaRIG,9,Async_medio,indice,387
EDME,2,1,PinzaRIG,10,Async_medio,indice,361
EDME,2,1,PinzaRIG,1,Async_indice,medio,780
EDME,2,1,PinzaRIG,2,Sync_indice,medio,433
EDME,2,1,PinzaRIG,3,Sync_indice,medio,333
EDME,2,1,PinzaRIG,4,Sync_medio,indice,444
EDME,2,1,PinzaRIG,5,Sync_indice,medio,516
EDME,2,1,PinzaRIG,6,Sync_indice,medio,363
EDME,2,1,PinzaRIG,7,Async_indice,medio,390
EDME,2,1,PinzaRIG,8,Sync_medio,indice,377
EDME,2,1,PinzaRIG,9,Sync_medio,indice,362
EDME,2,1,PinzaRIG,10,Sync_indice,medio,475
EDME,2,1,PinzaRIG,1,Sync_medio,indice,516
EDME,2,1,PinzaRIG,2,Async_indice,medio,572
EDME,2,1,PinzaRIG,3,Async_medio,indice,322
EDME,2,1,PinzaRIG,4,Async_medio,indice,378
EDME,2,1,PinzaRIG,5,Sync_indice,medio,463
EDME,2,1,PinzaRIG,6,Async_medio,indice,295
EDME,2,1,PinzaRIG,7,Sync_medio,indice,308
EDME,2,1,PinzaRIG,8,Sync_medio,indice,324
EDME,2,1,PinzaRIG,9,Sync_indice,medio,460
EDME,2,1,PinzaRIG,10,Sync_medio,indice,250
