CodiceSoggetto,NumeroSoggetto,Condizione,RigId,Trial,Type,Response,Time(ms)
SIVA,17,Hand_BaselineCCT,ManoRig,1,AsyncIndice,pollice,933
SIVA,17,Hand_BaselineCCT,ManoRig,2,AsyncPollice,indice,893
SIVA,17,Hand_BaselineCCT,ManoRig,3,SyncIndice,indice,781
SIVA,17,Hand_BaselineCCT,ManoRig,4,SyncIndice,indice,768
SIVA,17,Hand_BaselineCCT,ManoRig,5,AsyncIndice,pollice,743
SIVA,17,Hand_BaselineCCT,ManoRig,6,SyncPollice,pollice,1031
SIVA,17,Hand_BaselineCCT,ManoRig,7,SyncIndice,indice,1060
SIVA,17,Hand_BaselineCCT,ManoRig,8,SyncIndice,indice,809
SIVA,17,Hand_BaselineCCT,ManoRig,9,AsyncIndice,pollice,752
SIVA,17,Hand_BaselineCCT,ManoRig,10,AsyncPollice,indice,780
SIVA,17,Hand_BaselineCCT,ManoRig,11,AsyncPollice,indice,712
SIVA,17,Hand_BaselineCCT,ManoRig,12,AsyncIndice,pollice,724
SIVA,17,Hand_BaselineCCT,ManoRig,13,SyncPollice,pollice,794
SIVA,17,Hand_BaselineCCT,ManoRig,14,SyncPollice,pollice,780
SIVA,17,Hand_BaselineCCT,ManoRig,15,SyncIndice,indice,711
SIVA,17,Hand_BaselineCCT,ManoRig,16,SyncPollice,pollice,822
SIVA,17,Hand_BaselineCCT,ManoRig,17,AsyncPollice,indice,753
SIVA,17,Hand_BaselineCCT,ManoRig,18,AsyncIndice,pollice,837
SIVA,17,Hand_BaselineCCT,ManoRig,19,AsyncPollice,indice,989
SIVA,17,Hand_BaselineCCT,ManoRig,20,SyncPollice,pollice,810
SIVA,17,Hand_Stretch1_CCT,ManoRig,1,SyncPollice,pollice,642
SIVA,17,Hand_Stretch1_CCT,ManoRig,2,SyncIndice,indice,766
SIVA,17,Hand_Stretch1_CCT,ManoRig,3,SyncIndice,indice,934
SIVA,17,Hand_Stretch1_CCT,ManoRig,4,AsyncPollice,indice,808
SIVA,17,Hand_Stretch1_CCT,ManoRig,5,SyncPollice,pollice,641
SIVA,17,Hand_Stretch1_CCT,ManoRig,6,AsyncPollice,indice,725
SIVA,17,Hand_Stretch1_CCT,ManoRig,7,AsyncIndice,pollice,711
SIVA,17,Hand_Stretch1_CCT,ManoRig,8,SyncPollice,pollice,795
SIVA,17,Hand_Stretch1_CCT,ManoRig,9,SyncPollice,pollice,905
SIVA,17,Hand_Stretch1_CCT,ManoRig,10,AsyncIndice,pollice,697
SIVA,17,Hand_Stretch1_CCT,ManoRig,11,SyncPollice,pollice,738
SIVA,17,Hand_Stretch1_CCT,ManoRig,12,AsyncPollice,indice,837
SIVA,17,Hand_Stretch1_CCT,ManoRig,13,AsyncIndice,pollice,670
SIVA,17,Hand_Stretch1_CCT,ManoRig,14,SyncIndice,indice,669
SIVA,17,Hand_Stretch1_CCT,ManoRig,15,AsyncIndice,pollice,781
SIVA,17,Hand_Stretch1_CCT,ManoRig,16,AsyncPollice,indice,739
SIVA,17,Hand_Stretch1_CCT,ManoRig,17,AsyncIndice,pollice,683
SIVA,17,Hand_Stretch1_CCT,ManoRig,18,AsyncPollice,indice,1212
SIVA,17,Hand_Stretch1_CCT,ManoRig,19,SyncIndice,indice,767
SIVA,17,Hand_Stretch1_CCT,ManoRig,20,SyncIndice,indice,780
SIVA,17,Hand_Baseline_CCT,ManoRig,1,SyncPollice,pollice,725
SIVA,17,Hand_Baseline_CCT,ManoRig,2,SyncIndice,indice,781
SIVA,17,Hand_Baseline_CCT,ManoRig,3,AsyncIndice,pollice,948
SIVA,17,Hand_Baseline_CCT,ManoRig,4,SyncPollice,pollice,864
SIVA,17,Hand_Baseline_CCT,ManoRig,5,AsyncIndice,pollice,766
SIVA,17,Hand_Baseline_CCT,ManoRig,6,AsyncPollice,indice,851
SIVA,17,Hand_Baseline_CCT,ManoRig,7,SyncIndice,indice,669
SIVA,17,Hand_Baseline_CCT,ManoRig,8,SyncPollice,pollice,766
SIVA,17,Hand_Baseline_CCT,ManoRig,9,AsyncPollice,indice,767
SIVA,17,Hand_Baseline_CCT,ManoRig,10,SyncPollice,pollice,948
SIVA,17,Hand_Baseline_CCT,ManoRig,11,SyncPollice,pollice,738
SIVA,17,Hand_Baseline_CCT,ManoRig,12,SyncIndice,indice,683
SIVA,17,Hand_Baseline_CCT,ManoRig,13,SyncIndice,indice,683
SIVA,17,Hand_Baseline_CCT,ManoRig,14,AsyncIndice,pollice,683
SIVA,17,Hand_Baseline_CCT,ManoRig,15,AsyncIndice,pollice,738
SIVA,17,Hand_Baseline_CCT,ManoRig,16,AsyncPollice,indice,781
SIVA,17,Hand_Baseline_CCT,ManoRig,17,AsyncPollice,indice,766
SIVA,17,Hand_Baseline_CCT,ManoRig,18,AsyncIndice,pollice,724
SIVA,17,Hand_Baseline_CCT,ManoRig,19,AsyncPollice,indice,795
SIVA,17,Hand_Baseline_CCT,ManoRig,20,SyncIndice,indice,792
SIVA,17,Hand_Stretch2_CCT,ManoRig,1,SyncIndice,indice,781
SIVA,17,Hand_Stretch2_CCT,ManoRig,2,SyncPollice,pollice,752
SIVA,17,Hand_Stretch2_CCT,ManoRig,3,SyncPollice,pollice,684
SIVA,17,Hand_Stretch2_CCT,ManoRig,4,SyncIndice,indice,697
SIVA,17,Hand_Stretch2_CCT,ManoRig,5,AsyncPollice,indice,948
SIVA,17,Hand_Stretch2_CCT,ManoRig,6,SyncIndice,indice,1128
SIVA,17,Hand_Stretch2_CCT,ManoRig,7,AsyncIndice,pollice,711
SIVA,17,Hand_Stretch2_CCT,ManoRig,8,SyncIndice,indice,711
SIVA,17,Hand_Stretch2_CCT,ManoRig,9,SyncPollice,pollice,654
SIVA,17,Hand_Stretch2_CCT,ManoRig,10,AsyncPollice,indice,794
SIVA,17,Hand_Stretch2_CCT,ManoRig,11,AsyncIndice,pollice,753
SIVA,17,Hand_Stretch2_CCT,ManoRig,12,AsyncIndice,pollice,765
SIVA,17,Hand_Stretch2_CCT,ManoRig,13,AsyncPollice,indice,711
SIVA,17,Hand_Stretch2_CCT,ManoRig,14,AsyncPollice,indice,766
SIVA,17,Hand_Stretch2_CCT,ManoRig,15,AsyncIndice,pollice,766
SIVA,17,Hand_Stretch2_CCT,ManoRig,16,AsyncPollice,indice,781
SIVA,17,Hand_Stretch2_CCT,ManoRig,17,SyncPollice,pollice,711
SIVA,17,Hand_Stretch2_CCT,ManoRig,18,SyncPollice,pollice,627
SIVA,17,Hand_Stretch2_CCT,ManoRig,19,SyncIndice,indice,739
SIVA,17,Hand_Stretch2_CCT,ManoRig,20,AsyncIndice,pollice,683
