CodiceSoggetto,NumeroSoggetto,Condizione,RigId,Trial,Type,Response,Time(ms)
SIVA,17,Pinza_BaselineCCT,PinzaRIG,1,AsyncPollice,indice,911
SIVA,17,Pinza_BaselineCCT,PinzaRIG,2,SyncPollice,pollice,727
SIVA,17,Pinza_BaselineCCT,PinzaRIG,3,SyncIndice,indice,641
SIVA,17,Pinza_BaselineCCT,PinzaRIG,4,SyncPollice,pollice,767
SIVA,17,Pinza_BaselineCCT,PinzaRIG,5,SyncIndice,indice,727
SIVA,17,Pinza_BaselineCCT,PinzaRIG,6,AsyncPollice,indice,694
SIVA,17,Pinza_BaselineCCT,PinzaRIG,7,SyncIndice,indice,616
SIVA,17,Pinza_BaselineCCT,PinzaRIG,8,SyncIndice,indice,630
SIVA,17,Pinza_BaselineCCT,PinzaRIG,9,AsyncPollice,indice,808
SIVA,17,Pinza_BaselineCCT,PinzaRIG,10,AsyncIndice,pollice,711
SIVA,17,Pinza_BaselineCCT,PinzaRIG,11,SyncPollice,pollice,749
SIVA,17,Pinza_BaselineCCT,PinzaRIG,12,AsyncPollice,indice,833
SIVA,17,Pinza_BaselineCCT,PinzaRIG,13,AsyncIndice,pollice,797
SIVA,17,Pinza_BaselineCCT,PinzaRIG,14,SyncPollice,pollice,836
SIVA,17,Pinza_BaselineCCT,PinzaRIG,15,AsyncIndice,pollice,821
SIVA,17,Pinza_BaselineCCT,PinzaRIG,16,AsyncPollice,indice,775
SIVA,17,Pinza_BaselineCCT,PinzaRIG,17,SyncPollice,pollice,808
SIVA,17,Pinza_BaselineCCT,PinzaRIG,18,AsyncIndice,pollice,780
SIVA,17,Pinza_BaselineCCT,PinzaRIG,19,SyncIndice,indice,599
SIVA,17,Pinza_BaselineCCT,PinzaRIG,20,AsyncIndice,pollice,750
SIVA,17,Pinza_Stretch2_CCT,PinzaRIG,1,SyncPollice,pollice,1143
SIVA,17,Pinza_Stretch2_CCT,PinzaRIG,2,SyncIndice,indice,753
SIVA,17,Pinza_Stretch2_CCT,PinzaRIG,3,AsyncIndice,pollice,961
SIVA,17,Pinza_Stretch2_CCT,PinzaRIG,4,AsyncIndice,pollice,738
SIVA,17,Pinza_Stretch2_CCT,PinzaRIG,5,SyncIndice,indice,764
SIVA,17,Pinza_Stretch2_CCT,PinzaRIG,6,AsyncIndice,pollice,697
SIVA,17,Pinza_Stretch2_CCT,PinzaRIG,7,SyncPollice,pollice,727
SIVA,17,Pinza_Stretch2_CCT,PinzaRIG,8,AsyncIndice,pollice,693
SIVA,17,Pinza_Stretch2_CCT,PinzaRIG,9,AsyncPollice,indice,683
SIVA,17,Pinza_Stretch2_CCT,PinzaRIG,10,AsyncPollice,indice,766
SIVA,17,Pinza_Stretch2_CCT,PinzaRIG,11,SyncIndice,indice,752
SIVA,17,Pinza_Stretch2_CCT,PinzaRIG,12,SyncIndice,indice,878
SIVA,17,Pinza_Stretch2_CCT,PinzaRIG,13,SyncPollice,pollice,708
SIVA,17,Pinza_Stretch2_CCT,PinzaRIG,14,AsyncPollice,indice,797
SIVA,17,Pinza_Stretch2_CCT,PinzaRIG,15,AsyncPollice,indice,700
SIVA,17,Pinza_Stretch2_CCT,PinzaRIG,16,SyncIndice,indice,641
SIVA,17,Pinza_Stretch2_CCT,PinzaRIG,17,SyncPollice,pollice,641
SIVA,17,Pinza_Stretch2_CCT,PinzaRIG,18,SyncPollice,pollice,613
SIVA,17,Pinza_Stretch2_CCT,PinzaRIG,19,AsyncIndice,pollice,664
SIVA,17,Pinza_Stretch2_CCT,PinzaRIG,20,AsyncPollice,indice,696
SIVA,17,Pinza_Baseline_CCT,PinzaRIG,1,AsyncIndice,pollice,851
SIVA,17,Pinza_Baseline_CCT,PinzaRIG,2,AsyncPollice,indice,697
SIVA,17,Pinza_Baseline_CCT,PinzaRIG,3,SyncPollice,pollice,611
SIVA,17,Pinza_Baseline_CCT,PinzaRIG,4,AsyncIndice,pollice,700
SIVA,17,Pinza_Baseline_CCT,PinzaRIG,5,AsyncPollice,indice,684
SIVA,17,Pinza_Baseline_CCT,PinzaRIG,6,AsyncIndice,pollice,655
SIVA,17,Pinza_Baseline_CCT,PinzaRIG,7,SyncIndice,indice,641
SIVA,17,Pinza_Baseline_CCT,PinzaRIG,8,AsyncPollice,indice,644
SIVA,17,Pinza_Baseline_CCT,PinzaRIG,9,SyncPollice,pollice,514
SIVA,17,Pinza_Baseline_CCT,PinzaRIG,10,AsyncIndice,pollice,644
SIVA,17,Pinza_Baseline_CCT,PinzaRIG,11,SyncPollice,pollice,513
SIVA,17,Pinza_Baseline_CCT,PinzaRIG,12,AsyncPollice,indice,752
SIVA,17,Pinza_Baseline_CCT,PinzaRIG,13,SyncIndice,indice,714
SIVA,17,Pinza_Baseline_CCT,PinzaRIG,14,SyncIndice,indice,667
SIVA,17,Pinza_Baseline_CCT,PinzaRIG,15,SyncPollice,pollice,908
SIVA,17,Pinza_Baseline_CCT,PinzaRIG,16,SyncIndice,indice,708
SIVA,17,Pinza_Baseline_CCT,PinzaRIG,17,SyncPollice,pollice,630
SIVA,17,Pinza_Baseline_CCT,PinzaRIG,18,AsyncPollice,indice,598
SIVA,17,Pinza_Baseline_CCT,PinzaRIG,19,AsyncIndice,pollice,642
SIVA,17,Pinza_Baseline_CCT,PinzaRIG,20,SyncIndice,indice,794
SIVA,17,Pinza_Stretch1_CCT,PinzaRIG,1,SyncIndice,indice,809
SIVA,17,Pinza_Stretch1_CCT,PinzaRIG,2,AsyncPollice,indice,739
SIVA,17,Pinza_Stretch1_CCT,PinzaRIG,3,AsyncIndice,pollice,652
SIVA,17,Pinza_Stretch1_CCT,PinzaRIG,4,AsyncPollice,indice,810
SIVA,17,Pinza_Stretch1_CCT,PinzaRIG,5,SyncIndice,indice,666
SIVA,17,Pinza_Stretch1_CCT,PinzaRIG,6,SyncPollice,pollice,544
SIVA,17,Pinza_Stretch1_CCT,PinzaRIG,7,AsyncPollice,indice,628
SIVA,17,Pinza_Stretch1_CCT,PinzaRIG,8,SyncPollice,pollice,574
SIVA,17,Pinza_Stretch1_CCT,PinzaRIG,9,AsyncIndice,pollice,655
SIVA,17,Pinza_Stretch1_CCT,PinzaRIG,10,AsyncIndice,pollice,669
SIVA,17,Pinza_Stretch1_CCT,PinzaRIG,11,AsyncPollice,indice,672
SIVA,17,Pinza_Stretch1_CCT,PinzaRIG,12,AsyncPollice,indice,781
SIVA,17,Pinza_Stretch1_CCT,PinzaRIG,13,AsyncIndice,pollice,622
SIVA,17,Pinza_Stretch1_CCT,PinzaRIG,14,SyncPollice,pollice,585
SIVA,17,Pinza_Stretch1_CCT,PinzaRIG,15,SyncIndice,indice,697
SIVA,17,Pinza_Stretch1_CCT,PinzaRIG,16,SyncIndice,indice,836
SIVA,17,Pinza_Stretch1_CCT,PinzaRIG,17,SyncPollice,pollice,585
SIVA,17,Pinza_Stretch1_CCT,PinzaRIG,18,SyncIndice,indice,846
SIVA,17,Pinza_Stretch1_CCT,PinzaRIG,19,AsyncIndice,pollice,670
SIVA,17,Pinza_Stretch1_CCT,PinzaRIG,20,SyncPollice,pollice,630
