CodiceSoggetto,NumeroSoggetto,Condizione,RigId,Trial,Type,Response,Time(ms)
prova,2,1,ManoRig,1,Async_medio,NA,NA
prova,2,1,ManoRig,2,Sync_medio,NA,NA
prova,2,1,ManoRig,3,Async_indice,NA,NA
prova,2,1,ManoRig,4,Sync_indice,NA,NA
prova,2,1,ManoRig,5,Async_indice,medio,363
prova,2,1,ManoRig,6,Async_indice,NA,NA
prova,2,1,ManoRig,7,Async_indice,NA,NA
prova,2,1,ManoRig,8,Async_indice,NA,NA
prova,2,1,ManoRig,9,Sync_indice,medio,2047
prova,2,1,ManoRig,10,Async_indice,medio,294
prova,2,1,ManoRig,1,Sync_indice,medio,1018
prova,2,1,ManoRig,2,Async_indice,medio,419
prova,2,1,ManoRig,3,Async_indice,medio,391
prova,2,1,ManoRig,4,Sync_indice,medio,294
prova,2,1,ManoRig,5,Async_medio,indice,1895
prova,2,1,ManoRig,6,Sync_indice,medio,642
prova,2,1,ManoRig,7,Async_medio,indice,349
prova,2,1,ManoRig,8,Async_medio,indice,516
prova,2,1,ManoRig,9,Async_indice,medio,366
prova,2,1,ManoRig,10,Sync_medio,indice,309
